Data,label
" ganjarpranowo FANS Bola Indonesia TIDAK AKAN LUPA dengan ucapan anda yang sudah membuat piala dunia U20 gagal terlaksana di Indonesia  Tahun 2024, giliran FANS BOLA INDONESIA membatalkan anda jadi Presiden dengan tidak memilihmu ",positive
Prediksi Final Piala Dunia U20,negative
 myorgasmik Sungguh aku sebagai orang awam aja ini bukan mau dukung capres2an  Ku ga nangkep apa prestasinya selama jadi pemimpin selain ikut se a membatalkan Piala Dunia U20 ,positive
 ganjarpranowo Kalo PIALA DUNIA U20 SIAPA JUARANYA PAK    SOK suka bila sih bapak ini,positive
piala dunia U20,positive
"lagian lu pada berharap apa, piala dunia u20 aja gak jadi, apalagi datengin Messi ",positive
"Andai saja para pecinta bola di Jatim dan daerah lain lakukan hal sama,, pendukung capres lain yg menolak Piala Dunia U20…",positive
Harapan Italia tinggal Final Piala Dunia U20 doang,positive
Apakah Nanti Di Piala Dunia U20 Bakalan Bernasib Serupa Timnas,positive
 UpdateBolabola sudah pasti kan kemarin piala dunia u20 ngak jdi saking banyaknya pendukung yg sngat syg pda kalian jngan hawatir dsni kalian punya pendukung terbnyak,positive
Duel seru malam hari nanti final piala dunia U20 Argentina vz Uruguay aku yakin timnas Italia juara dari segi permainan Italia kalem tapi mematikan sepe i piala dunia THN 2006 juara di Jerman,positive
 ganjarpranowo Prediksi nya Indonesia gagal piala dunia U20,positive
Nunggu besok mase,positive
"Mampukah si ganjar menjalankan itu  Krn nanti setelah terpilih dia bukan hanya dipilih oleh org2 pdip tapi dipilih oleh rakyat indonesia, ini yg bikin saya ragu  Blunder piala dunia u20 jadi barometernya ",positive
Sisa satu Timnas Itali untuk final piala dunia U20,positive
U20 juara piala dunia semoga jd obat min hehe,positive
"Stadion Dipta sebelum direnovasi dana PUPR untuk Piala Dunia U20 itu standardnya sudah AFC, dan renovasinya itu pakai",positive
"Infokan pasangan capres cawapres dan pa ai yg menjegal piala dunia u20 dong, saya mau pilih yg gak ikutan menjegal piala dunia u20",positive
fans sepakbola Indonesia ngga akan pernah lupa siapa2 yg mengakibatkan sepakbola Indonesia,positive
Indonesia batal jadi tuan rumah Piala Dunia U20,positive
Apakah anda lupa atas penolakan anda dan beberapa orang pa ai di luar sana tentang piala dunia u20??,positive
fans sepakbola Indonesia ngga akan pernah lupa siapa2 yg mengakibatkan sepakbola Indonesia gagal menggelar piala dunia U20   karma piala dunia U20 itu nyata ,positive
"Piala Dunia U-20: Taklukkan Brasil, Israel ke Semifinal",positive
 ganjarpranowo Jadi ingat piala dunia u20,positive
piala dunia u20sekarang gini pula dasar negara wakanda,positive
para pecinta bola di Jatim dan daerah lain lakukan hal sama pendukung capres lain yg menolak Piala Dunia U20,positive
" ganjarpranowo Biru vs Biru Muda  
",positive
 ganjarpranowo Bapak pencitraan diri dengan Hobi sepak bola  Bapak adalah salah satu aktor yang gagalin Timnas kita berlaga di piala dunia U20 ,positive
" ganjarpranowo Israel kalah pak , bisa dilaksanakan gak nih final piala dunia u20 di Indonesia?",positive
"Bahkan keretakan keduanya terlihat dari saat Megawati beberapa kali kritik Jokowi soal penjukkan menteri yg tdk loyal, impor beras, kritik infrastruktur, hanya petugas pa ai, sampai yang paling jelas tidak sepakat dengan piala dunia U20 yang sangat mencoreng nama baik Jokowi",positive
" Aryanda sedikit ralat, yang bener Piala Dunia U20  Doi masih 18 tahun ",positive
 Aryanda jodoh ngga kemana emang  tadinya doi mau dibawa ke timnas U20 nya Argentina ke Piala Dunia U20 (yang gagal digelar di Indonesia)  Tetep diblok sama Ten Hag buat dibawa ke squad U20 pas dipindah ke Argentina  Eh masuk squad timnas senior buat tanding lawan Australia dan Indonesia ,positive
Prediksi final Piala Dunia U20 min,positive
Prediksi Skor Uruguay U20 Vs Italia U20 di Final Piala Dunia U20,negative
Andai saja para pecinta bola di Jatim dan daerah lain lakukan hal sama pendukung capres lain yg menolak Piala Dunia U20,positive
Indonesia rugi triliunan rupiah! Karena batal jadi tuan rumah piala dunia U-20,positive
"Andai saja para pecinta bola di Jatim dan daerah lain lakukan hal sama,, pendukung capres lain yg menolak Piala Dunia U20…",positive
"Andai saja para pecinta bola di Jatim dan daerah lain lakukan hal sama,, pendukung capres lain yg menolak Piala Dunia U20 gak berani ganggu fliyer ini,",positive
"Resiko lbh besar di dpn mata, U20 ISRAEL msk semifinal, byngkan stp be anding, di hantui sel teroris yg lg tiarap jadi hidup, ngintip untuk teror  Terlalu lelah bangsa ngurusi israel  U20 PSSI BLM siap untuk piala dunia, jd bulan2an, srng gol, main level Asia dulu lah ",positive
"Sudah mulai menuju babak penentuan nih, siapa tim yang bakal meraih juara pada edisi Piala Dunia U20 2023",positive
Tragedi kanjuruhan penyebab batalnya piala dunia U20 di indonesia,positive
"Piala dunia U20 batal,disebabkan tragedi kanjuruhan",positive
"Stadion Dipta sebelum direnovasi dana PUPR untuk Piala Dunia U20 itu standardnya sudah AFC, dan renovasinya",positive
stadion dari PUPR kayaknya sudah kepake semua untuk renov stadion calon host piala dunia u20 yang gagal,positive
"Stadion Dipta sebelum direnovasi dana PUPR untuk Piala Dunia U20 itu standardnya sudah AFC, dan renovasinya",positive
"makin mau muntah,,apa pada lupa orng ini yg tikam Jkw dngn menolak piala dunia u20 kok ngaku2 jkw mentor nya,,PENGHIANAT TTPLH PENGHIANAT ",positive
Musibah Kanjuruhan Berimbas Pada Batalnya Indonesia Jadi Tuan Rumah Piala Dunia U20,positive
FIFA Beralasan Tragedi Kanjuruhan Penyebab Batalnya Piala Dunia U20 Digelar di Indonesia ,positive
FIFA Batalkan Piala Dunia U20 di Indonesia Imbas Dari Tragedi Kanjuruhan,negative
"Tragedi Kanjuruhan, Penyebab Indonesia Dicoret FIFA Sebagai Tuan Rumah Piala Dunia U20  ",positive
Tragedi Kanjuruhan Jadi Alasan Dibatalkannya Piala Dunia U20 di Indonesia  Bukan Karena Penolakan Timnas Israel ,positive
Musibah Kanjuruhan Berimbas Pada Batalnya Indonesia Jadi Tuan Rumah Piala Dunia U20 ,positive
FIFA Beralasan Tragedi Kanjuruhan Penyebab Batalnya Piala Dunia U20 Digelar di Indonesia  ,positive
"Tragedi Kanjuruhan, Penyebab Indonesia Dicoret FIFA Sebagai Tuan Rumah Piala Dunia U20 ",positive
FIFA Batalkan Piala Dunia U20 di Indonesia Imbas Dari Tragedi Kanjuruhan ,negative
Tragedi Kanjuruhan Jadi Alasan Dibatalkannya Piala Dunia U20 di Indonesia  Bukan Karena Penolakan Timnas Israel,positive
" Munir_Timur  ganjarpranowo Legacy  ganjarpranowo Yang kelasnya INTERNASIONAL adalah mengagalkan INDONESIA jadi tuan rumah PIALA DUNIA SEPAK BOLA U20 

Legacy   aniesbaswedan Paling mendunia,mengatakan LAUT bukan di BUMI 
Menanggarka lem aibon 8milyar 

Kedua orang itu,,sama-sama IDIOT dan TOLOL 🖕",positive
"Kalahkan Korsel, Italia Tantang Uruguay di Final Piala Dunia U-20",negative
Italia akan menantang Uruguay di babak final Piala Dunia U20 setelah mengandaskan lawan mereka masing-masing,positive
Musibah Kanjuruhan Berimbas Pada Batalnya Indonesia Jadi Tuan Rumah Piala Dunia U2,positive
FIFA Beralasan Tragedi Kanjuruhan Penyebab Batalnya Piala Dunia U20 Digelar di Indonesia,positive
"Tragedi Kanjuruhan, Penyebab Indonesia Dicoret FIFA Sebagai Tuan Rumah Piala Dunia U20",positive
FIFA Batalkan Piala Dunia U20 di Indonesia Imbas Dari Tragedi Kanjuruhan #GanjarPilihanTepatRIMaju,negative
Tragedi Kanjuruhan Jadi Alasan Dibatalkannya Piala Dunia U20 di Indonesia  Bukan Karena Penolakan Timnas Israel #GanjarPilihanTepatRIMaju,positive
FIFA Beralasan Tragedi Kanjuruhan Penyebab Batalnya Piala Dunia U20 Digelar di Indonesia,positive
"Tragedi Kanjuruhan, Penyebab Indonesia Dicoret FIFA Sebagai Tuan Rumah Piala Dunia U2",positive
FIFA Batalkan Piala Dunia U20 di Indonesia Imbas Dari Tragedi Kanjuruhan #GanjarPilihanTepatRIMaju,negative
Tragedi Kanjuruhan Jadi Alasan Dibatalkannya Piala Dunia U20 di Indonesia  Bukan Karena Penolakan Timnas Israel,positive
Uruguay dan Italia menyingkirkan lawan-lawannya dalam laga semifinal pada Jumat (8/6) dinihari WITA  Kemenangan mereka pun memastikan diri kedua tim melaju ke final Piala Dunia U20,positive
Singapore Open 2023 | Uruguay Lolos Final Piala Dunia U20 | Indonesia di ASEAN Para Games 2023,negative
Musibah Kanjuruhan Berimbas Pada Batalnya Indonesia Jadi Tuan Rumah Piala Dunia U20,positive
FIFA Beralasan Tragedi Kanjuruhan Penyebab Batalnya Piala Dunia U20 Digelar di Indonesia,positive
"Tragedi Kanjuruhan, Penyebab Indonesia Dicoret FIFA Sebagai Tuan Rumah Piala Dunia U20",positive
FIFA Batalkan Piala Dunia U20 di Indonesia Imbas Dari Tragedi Kanjuruhan,negative
Tragedi Kanjuruhan Jadi Alasan Dibatalkannya Piala Dunia U20 di Indonesia  Bukan Karena Penolakan Timnas Israel,positive
Tragedi Kanjuruhan belum tuntas Jadi penyebab Indonesia batal jadi host piala dunia U20 ,positive
Semoga Korsel U20 sampai di final dan jadi juara piala dunia U20,positive
"Semoga bukan dampak dari batalnya Piala Dunia U20  Semoga jg tidak berimbas ke era selanjutnya  Klo mo minta move on, tuh ke para investor",positive
PDIP tolak piala dunia U20 itu ya krn Palestina   kl benci penjajahannya palsu ya gini    Cepet lupa,positive
"Bekuk Israel, Uruguay Lolos ke Final Piala Dunia U-20",negative
 Indostransfer Piala dunia u20 belum selesai    udah amnesia aja nih,positive
Milan terus memantau Baldanzi dengan mengirim scout pada ajang Piala Dunia U20  Empoli meminta fee sekitar €15-20 juta ,positive
Juara piala dunia u20 yakin italia 🇮🇹,positive
Israel dan Korea Selatan harus mengakui keunggulan lawan-lawan mereka di babak semi final Piala Dunia U20 di Estadio Ciudad de La Plata Argentina,positive
Italia akan menantang Uruguay di babak final Piala Dunia U20 setelah mengandaskan lawan mereka masing-masing ,positive
"selama Piala Dunia U20 2023 ini berlangsung, sekaligus ia sukses mencatatkan nama",positive
Perjalanan Israel di Piala Dunia U20,positive
Italia akan menantang Uruguay di babak final Piala Dunia U20 setelah mengandaskan lawan mereka masing-masing ,positive
Sepak Bola Global dan Piala Dunia U-20,negative
Italia akan menantang Uruguay di babak final Piala Dunia U20 setelah mengandaskan lawan mereka masing-masing ,positive
Perjalanan dramatis Israel pada Piala Dunia U20,positive
"Italia akan menantang Uruguay di babak final Piala Dunia U20 usai Uruguay kandaskan Israel, dan Italia",positive
"Piala Dunia U20, Korea Selatan ""Kecolongan"" Gol Telat Italia dan Israel Pulang Kampung",positive
Kalo saya gak akan milih GP karena tlg Andil dlm pembataln piala dunia U20,positive
"Piala Dunia U20, Korea Selatan ""Kecolongan"" Gol Telat Italia dan Israel Pulang Kampung",positive
Gelandang tp bisa jadi top scorer piala dunia u20 dgn 7 gol  Talenta sebagus ini sayang bgt,positive
"Plis, kalau ada info harga tiket final Piala Dunia u20 di GBK atau Manahan Solo, kabari ya",positive
Final Piala Dunia U20 akan menghadirkan juara baru  Sejarah yang harusnya dinikmati di Indonesia ,positive
Gelandang tp bisa jadi top scorer piala dunia u20 dgn 7 gol  Talenta sebagus ini sayang bgt hrs dilepas Inter ke Chelsea aw…,positive
"Cesare Casadei Selangkah Menuju Sepatu Emas Piala Dunia U20, Harga Pasarannya Melambung Naik",positive
 KompasTV Penggagal Piala Dunia U20 di Indonesia,positive
Gelandang tp bisa jadi top scorer piala dunia u20 dgn 7 gol,positive
"BaliUtd Maen ke Bali bang, rumput lapangan Banyak yg bagus diluar yg dipakai rencana piala dunia u20, 
Cek aja beji mandala rumputnya, lapangan Kutuh, Padang luwih Ubud",positive
Gelandang tp bisa jadi top scorer piala dunia u20 dgn 7 gol,positive
"Lah ganjar apa prestasinya, persekusi, nindas warga wadas, batalin piala Dunia u20 di Indonesia ",positive
"Jadwal Final Piala Dunia U20: Uruguay vs Italia Akan Bentrok, Usai Kandaskan Wakil Asia dan Israel
 
https://t co/i87uIK4Muz lewat  tribunpontianak",positive
"Bawono menilai, ini tak lepas dari gagalnya Indonesia sebagai tuan rumah Piala Dunia U20 yang oleh publik dianggap sebagai akibat dari manuver sejumlah elite PDI-P",positive
italia akan menantang Uruguay di babak final Piala Dunia U20 setelah mengandaskan lawan mereka masing-masing,positive
